fluid_temp,air_umidity,dm3_gas
17.310000000000002,99.6,0.0
-53.0,87.6,0.0
22.28,95.4,0.0
21.97,96.3,0.0
20.03,81.2,0.0
16.0,93.8,0.0
20.875,96.5,0.0
23.185000000000002,96.1,0.0
19.845,94.85,0.0
23.845,98.7,0.0
22.72,97.6,0.005
19.25,91.3,0.0
23.314999999999998,92.8,0.0
22.595,92.7,0.0
23.607499999999998,93.5,0.0
23.295,94.3,0.0
21.33,97.0,0.0
23.34,97.4,0.005
23.875,97.3,0.0
21.785,98.0,0.005
20.583333333333332,94.73333333333335,0.0033333333333333335
20.183333333333334,94.26666666666667,0.0
22.58,98.30000000000001,0.005
21.830000000000002,95.43333333333332,0.0
21.134999999999998,90.1,0.0
-17.0775,92.65,0.0
18.28,96.2,0.0
20.345,95.7,0.0
19.59,92.0,0.0
19.845,91.2,0.0
14.88,87.4,0.0
21.51,94.0,0.0
20.5,91.8,0.0
22.565,99.9,0.0
16.935,97.3,0.0
18.28,96.2,0.0
